['0', '47', '83', '116', '186', '208', '281', '311', '322', '347', '352', '379', '407', '411', '416', '420', '461', '476', '1', '2']
['4', '23', '51', '149', '151', '173', '198', '227', '233', '248', '276', '278', '279', '280', '286', '312', '333', '334', '364', '385']
['5', '125', '190', '201', '215', '226', '229', '235', '239', '271', '277', '294', '309', '431', '454', '455', '3', '8', '9', '16']
['6', '37', '60', '77', '107', '147', '179', '204', '289', '350', '356', '394', '410', '428', '452', '24', '32', '34', '35', '36']
['7', '39', '44', '86', '119', '163', '165', '169', '175', '183', '184', '185', '205', '223', '242', '282', '299', '318', '329', '408']
['10', '41', '89', '90', '117', '129', '136', '137', '155', '166', '195', '237', '244', '325', '346', '349', '355', '373', '402', '421']
['11', '61', '88', '99', '112', '188', '245', '298', '324', '326', '400', '401', '414', '437', '458', '483', '43', '49', '50', '59']
['12', '18', '28', '33', '57', '109', '121', '128', '130', '153', '162', '164', '191', '194', '224', '240', '250', '256', '284', '287']
['13', '27', '29', '101', '120', '122', '140', '193', '217', '238', '255', '261', '387', '444', '445', '449', '478', '65', '66', '68']
['14', '15', '40', '54', '62', '75', '94', '105', '180', '181', '236', '246', '251', '260', '340', '342', '365', '374', '381', '388']
['17', '30', '31', '38', '46', '55', '91', '126', '145', '182', '206', '232', '243', '266', '314', '320', '372', '396', '405', '418']
['19', '498', '69', '76', '78', '79', '85', '96', '102', '104', '106', '118', '123', '127', '131', '133', '134', '141', '152', '157']
['20', '63', '73', '124', '160', '161', '196', '210', '220', '257', '288', '305', '323', '327', '363', '366', '447', '497', '168', '172']
['21', '71', '111', '138', '142', '170', '200', '218', '274', '295', '315', '360', '369', '370', '406', '412', '425', '473', '178', '197']
['22', '26', '80', '81', '135', '154', '207', '247', '283', '353', '429', '436', '438', '462', '472', '202', '203', '212', '214', '216']
['25', '377', '222', '225', '230', '249', '254', '258', '267', '272', '273', '275', '290', '293', '296', '297', '300', '302', '321', '328']
['42', '113', '143', '146', '176', '177', '189', '213', '228', '270', '285', '306', '337', '361', '413', '332', '351', '357', '358', '359']
['45', '48', '64', '93', '98', '159', '221', '252', '301', '310', '319', '330', '390', '399', '424', '459', '470', '490', '494', '362']
['52', '70', '72', '92', '100', '114', '171', '264', '343', '382', '448', '487', '375', '378', '380', '386', '397', '403', '404', '419']
['53', '307', '434', '440', '442', '468', '471', '484', '486', '492', '82', '481', '108', '479', '156', '467', '209', '435', '211', '446']
['56', '241', '339', '291', '368', '313', '383', '317', '344', '231', '67', '392', '384', '367', '432', '450', '453', '475', '482', '495']
['58', '95', '97', '158', '167', '187', '262', '265', '292', '338', '371', '395', '430', '469', '423', '433', '463', '464', '485', '304']
['74', '87', '115', '144', '148', '150', '174', '192', '219', '234', '263', '269', '331', '460', '308', '316', '335', '336', '345', '354']
['84', '110', '132', '139', '199', '253', '259', '268', '303', '348', '376', '391', '409', '415', '496', '389', '398', '422', '451', '456']
['103', '341', '393', '480', '457', '477', '489', '499', '465', '466', '474', '491', '427', '441', '443', '488', '493', '417', '426', '439']
