['0', '7', '92', '100', '103', '200', '246', '274', '322', '344', '406', '417', '461', '473', '481', '4', '13', '14', '16', '19']
['1', '20', '31', '293', '307', '330', '351', '411', '468', '23', '27', '36', '37', '43', '44', '45', '46', '47', '50', '64']
['2', '6', '32', '104', '123', '194', '260', '422', '73', '78', '79', '84', '88', '90', '98', '105', '109', '115', '117', '120']
['3', '66', '114', '151', '324', '365', '383', '387', '408', '418', '441', '458', '475', '476', '121', '125', '130', '132', '133', '136']
['5', '71', '137', '138', '139', '144', '149', '153', '159', '161', '164', '168', '169', '171', '172', '173', '174', '182', '185', '186']
['8', '59', '187', '188', '190', '193', '197', '202', '204', '205', '209', '212', '214', '216', '218', '221', '243', '251', '253', '257']
['9', '57', '69', '135', '148', '206', '271', '285', '340', '264', '265', '269', '277', '278', '282', '283', '286', '291', '297', '298']
['10', '52', '62', '80', '147', '156', '162', '227', '326', '328', '348', '359', '381', '425', '447', '464', '479', '302', '305', '309']
['11', '30', '150', '281', '287', '336', '393', '419', '310', '311', '312', '316', '321', '333', '341', '346', '352', '354', '356', '358']
['12', '29', '76', '102', '143', '170', '189', '201', '248', '370', '373', '385', '407', '416', '432', '437', '442', '449', '465', '362']
['15', '18', '38', '39', '54', '56', '61', '68', '75', '93', '224', '234', '379', '380', '391', '435', '438', '363', '368', '375']
['17', '199', '376', '382', '384', '386', '388', '389', '392', '396', '402', '405', '409', '412', '413', '415', '429', '431', '434', '439']
['21', '22', '53', '141', '177', '239', '268', '290', '304', '308', '320', '337', '347', '361', '395', '410', '440', '444', '445', '450']
['24', '436', '459', '460', '471', '474', '477', '478', '483', '487', '488', '489', '490', '492', '495', '497', '55', '35', '280', '40']
['25', '86', '99', '119', '152', '181', '192', '232', '266', '288', '295', '317', '345', '390', '480', '41', '228', '81', '94', '89']
['26', '48', '63', '101', '124', '230', '233', '242', '252', '275', '394', '106', '428', '116', '334', '126', '249', '131', '338', '154']
['28', '67', '74', '128', '134', '158', '219', '299', '349', '350', '353', '366', '369', '397', '404', '443', '469', '472', '196', '155']
['33', '95', '111', '178', '180', '191', '231', '241', '261', '318', '374', '276', '160', '327', '184', '267', '220', '270', '223', '357']
['34', '303', '371', '421', '244', '343', '258', '454', '294', '335', '314', '430', '378', '453', '424', '498', '451', '215', '60', '58']
['42', '49', '97', '107', '112', '140', '210', '238', '319', '325', '331', '400', '414', '423', '448', '462', '470', '452', '225', '203']
['51', '262', '273', '315', '292', '237', '213', '499', '466', '426', '486', '446', '399', '118', '259', '217', '211', '207', '496', '491']
['65', '163', '166', '240', '254', '398', '401', '433', '427', '198', '108', '485', '484', '463', '403', '272', '377', '263', '222', '127']
['70', '82', '129', '176', '247', '255', '306', '313', '339', '342', '355', '364', '87', '72', '300', '296', '256', '142', '110', '85']
['77', '91', '183', '229', '279', '329', '367', '482', '83', '372', '332', '236', '195', '175', '122', '96', '494', '493', '455', '284']
['145', '167', '179', '208', '245', '250', '289', '323', '226', '165', '113', '467', '457', '456', '420', '360', '301', '235', '157', '146']
