['0', '14', '54', '61', '64', '67', '114', '132', '159', '164', '181', '190', '202', '209', '210', '212', '214', '246', '248', '253']
['1', '9', '13', '16', '37', '76', '80', '93', '97', '101', '129', '138', '141', '198', '204', '235', '252', '261', '288', '292']
['2', '5', '20', '56', '98', '103', '174', '180', '182', '228', '232', '319', '325', '327', '338', '348', '404', '409', '481', '259']
['3', '27', '127', '140', '144', '178', '185', '211', '265', '266', '270', '296', '359', '360', '376', '379', '384', '394', '403', '406']
['4', '8', '71', '94', '117', '121', '126', '143', '161', '166', '192', '207', '218', '224', '282', '284', '287', '320', '321', '323']
['6', '12', '41', '50', '63', '88', '89', '92', '134', '148', '157', '160', '187', '194', '215', '226', '231', '233', '257', '260']
['7', '19', '40', '102', '118', '124', '158', '183', '189', '241', '251', '256', '283', '299', '318', '349', '351', '363', '378', '407']
['10', '11', '25', '26', '34', '38', '44', '72', '79', '85', '87', '104', '105', '112', '113', '115', '116', '135', '145', '151']
['15', '24', '31', '49', '62', '75', '130', '133', '156', '168', '221', '229', '247', '254', '293', '302', '389', '434', '435', '440']
['17', '32', '48', '66', '68', '77', '78', '91', '96', '100', '120', '142', '146', '152', '162', '170', '175', '176', '199', '213']
['18', '21', '22', '45', '47', '52', '57', '90', '99', '109', '122', '165', '171', '173', '193', '222', '225', '242', '250', '275']
['23', '35', '70', '84', '110', '200', '206', '291', '326', '333', '342', '420', '423', '445', '461', '468', '475', '495', '263', '280']
['28', '36', '58', '65', '108', '119', '150', '153', '163', '205', '230', '234', '268', '277', '289', '309', '311', '335', '339', '340']
['29', '30', '39', '46', '60', '74', '83', '111', '125', '136', '139', '184', '188', '201', '244', '245', '281', '304', '341', '353']
['42', '53', '55', '81', '82', '86', '95', '106', '107', '123', '137', '149', '154', '177', '196', '203', '208', '223', '239', '249']
['51', '59', '69', '155', '167', '179', '186', '217', '220', '313', '329', '332', '371', '377', '387', '391', '397', '413', '453', '457']
['147', '286', '294', '300', '301', '310', '317', '324', '337', '344', '347', '367', '374', '396', '446', '479', '482', '488', '491', '307']
['195', '484', '368', '375', '381', '399', '427', '429', '472', '487', '499', '392', '398', '408', '424', '279', '334', '357', '358', '380']
['466', '385', '405', '416', '432', '447', '460', '474', '496', '227', '237', '238', '243', '271', '274', '295', '305', '336', '343', '369']
['494', '393', '414', '415', '418', '419', '430', '437', '455', '469', '470', '473', '477', '490', '448', '452', '459', '471', '480', '169']
['308', '172', '191', '197', '216', '219', '236', '240', '258', '262', '267', '269', '273', '278', '285', '314', '330', '350', '352', '365']
['465', '428', '438', '454', '464', '476', '483', '485', '421', '433', '450', '463', '498', '264', '276', '290', '298', '315', '316', '361']
['462', '402', '425', '444', '449', '489', '331', '355', '372', '373', '382', '383', '410', '412', '422', '436', '441', '443', '486', '493']
['386', '297', '426', '431', '456', '346', '356', '362', '364', '388', '395', '400', '439', '442', '458', '467', '492', '497', '33', '73']
['131', '128', '255', '272', '303', '306', '312', '322', '328', '345', '354', '366', '370', '390', '401', '411', '417', '451', '478', '43']
