['0', '33', '35', '42', '46', '47', '49', '52', '60', '72', '75', '79', '92', '93', '105', '120', '126', '129', '152', '161']
['1', '8', '9', '14', '44', '55', '57', '69', '98', '100', '108', '110', '111', '113', '136', '139', '147', '164', '168', '177']
['2', '6', '7', '22', '28', '37', '64', '71', '90', '117', '155', '217', '222', '237', '251', '262', '288', '290', '295', '306']
['3', '12', '65', '68', '83', '87', '104', '109', '112', '115', '138', '151', '185', '186', '194', '236', '238', '239', '243', '244']
['4', '5', '10', '15', '41', '50', '62', '66', '78', '80', '82', '84', '85', '95', '106', '107', '125', '130', '133', '142']
['11', '21', '23', '32', '43', '48', '53', '56', '73', '91', '94', '119', '121', '122', '124', '127', '135', '140', '141', '143']
['13', '16', '17', '18', '20', '26', '40', '59', '61', '70', '81', '89', '99', '101', '114', '116', '123', '128', '132', '134']
['19', '29', '34', '38', '45', '118', '160', '193', '215', '270', '309', '316', '365', '379', '450', '456', '181', '208', '224', '231']
['24', '25', '27', '30', '36', '39', '51', '54', '63', '67', '76', '77', '86', '96', '102', '131', '146', '158', '172', '179']
['31', '58', '74', '88', '97', '103', '137', '153', '187', '195', '198', '226', '259', '370', '429', '449', '461', '234', '240', '241']
['483', '242', '249', '256', '260', '272', '299', '303', '317', '333', '346', '347', '351', '369', '382', '384', '390', '395', '405', '424']
['465', '425', '430', '440', '455', '466', '498', '144', '149', '163', '166', '184', '188', '191', '192', '202', '206', '209', '219', '252']
['491', '263', '264', '268', '276', '277', '282', '293', '300', '305', '307', '312', '313', '323', '329', '338', '345', '348', '373', '375']
['479', '377', '383', '385', '386', '388', '389', '403', '419', '432', '437', '445', '448', '453', '459', '462', '463', '468', '471', '485']
['495', '492', '150', '154', '156', '157', '159', '165', '169', '171', '174', '175', '176', '182', '189', '197', '203', '211', '212', '213']
['489', '218', '225', '227', '229', '230', '235', '245', '253', '255', '265', '266', '269', '274', '275', '279', '284', '287', '310', '311']
['499', '314', '319', '336', '337', '341', '371', '374', '394', '398', '404', '408', '414', '417', '421', '438', '444', '451', '458', '472']
['481', '473', '145', '148', '178', '199', '200', '201', '205', '214', '220', '232', '233', '247', '271', '283', '285', '291', '296', '342']
['493', '343', '344', '358', '376', '378', '396', '397', '406', '415', '423', '426', '439', '475', '476', '477', '250', '254', '292', '294']
['496', '297', '302', '320', '322', '324', '326', '340', '352', '364', '372', '400', '418', '428', '434', '441', '452', '457', '321', '325']
['490', '332', '335', '350', '355', '356', '357', '363', '366', '368', '407', '409', '420', '433', '435', '442', '467', '484', '487', '180']
['488', '183', '196', '207', '216', '267', '273', '278', '281', '286', '298', '301', '304', '308', '327', '349', '354', '360', '367', '387']
['494', '393', '399', '402', '410', '413', '416', '427', '431', '436', '446', '447', '454', '460', '474', '162', '167', '170', '173', '190']
['482', '204', '210', '221', '223', '228', '246', '248', '257', '258', '261', '280', '289', '315', '318', '328', '330', '331', '334', '339']
['497', '353', '359', '361', '362', '380', '381', '391', '392', '401', '411', '412', '422', '443', '464', '469', '470', '478', '480', '486']
