['0', '27', '29', '47', '83', '116', '140', '186', '208', '238', '259', '261', '281', '347', '352', '409', '411', '416', '420', '449']
['2', '1', '3', '8', '9', '16', '24', '32', '34', '35', '36', '43', '49', '50', '59', '65', '66', '68', '69', '76']
['4', '5', '125', '190', '201', '226', '229', '276', '294', '312', '364', '385', '431', '455', '23', '309', '78', '79', '85', '96']
['6', '37', '42', '60', '77', '213', '289', '350', '356', '394', '107', '147', '179', '204', '410', '428', '452', '102', '104', '106']
['7', '163', '175', '235', '239', '271', '318', '454', '488', '493', '143', '176', '299', '118', '123', '127', '131', '133', '134', '141']
['10', '14', '26', '40', '41', '54', '62', '75', '94', '105', '117', '135', '136', '180', '181', '236', '246', '251', '260', '319']
['11', '88', '132', '139', '188', '199', '245', '268', '298', '324', '326', '348', '400', '401', '414', '437', '456', '457', '458', '477']
['12', '18', '109', '121', '153', '162', '224', '250', '256', '284', '304', '336', '354', '355', '381', '389', '421', '433', '89', '164']
['86', '101', '149', '184', '227', '233', '282', '329', '387', '279', '334', '426', '120', '193', '478', '13', '152', '157', '168', '172']
['17', '30', '31', '46', '55', '91', '113', '126', '145', '146', '182', '194', '206', '243', '266', '270', '308', '314', '337', '361']
['19', '498', '178', '197', '202', '203', '212', '214', '216', '222', '225', '230', '249', '254', '258', '267', '272', '273', '275', '290']
['20', '52', '63', '70', '72', '115', '124', '128', '160', '196', '240', '257', '263', '316', '323', '343', '345', '363', '382', '447']
['22', '44', '80', '81', '130', '154', '207', '247', '283', '335', '353', '429', '436', '438', '293', '296', '297', '300', '302', '321']
['25', '377', '328', '332', '351', '357', '358', '359', '362', '375', '378', '380', '386', '397', '403', '404', '419', '434', '440', '442']
['28', '90', '100', '114', '122', '171', '217', '244', '402', '444', '445', '448', '92', '255', '491', '264', '237', '468', '471', '484']
['38', '51', '84', '151', '173', '198', '232', '286', '333', '417', '439', '450', '475', '248', '278', '280', '486', '307', '53', '492']
['39', '45', '48', '64', '93', '98', '159', '169', '205', '221', '242', '252', '301', '310', '390', '399', '408', '424', '427', '441']
['56', '241', '339', '82', '481', '108', '479', '156', '467', '209', '435', '211', '446', '291', '368', '313', '383', '317', '443', '459']
['58', '95', '97', '129', '137', '155', '158', '166', '167', '187', '195', '262', '265', '292', '338', '346', '371', '395', '430', '469']
['67', '231', '344', '470', '490', '494', '487', '499', '33', '57', '74', '161', '191', '210', '288', '305', '366', '489', '21', '73']
['71', '119', '138', '165', '177', '183', '185', '189', '223', '228', '285', '360', '425', '220', '327', '497', '372', '396', '405', '413']
['87', '144', '148', '150', '174', '192', '215', '219', '234', '269', '277', '295', '331', '460', '418', '432', '451', '453', '482', '495']
['103', '341', '393', '480', '306', '320', '287', '325', '373', '398', '422', '483', '61', '99', '112', '330', '340', '342', '349', '365']
['110', '111', '142', '170', '200', '218', '253', '274', '303', '315', '369', '370', '376', '391', '406', '412', '415', '473', '374', '388']
['367', '384', '392', '423', '463', '464', '465', '466', '472', '474', '485', '15', '462', '461', '476', '496', '311', '322', '379', '407']
