['0', '7', '92', '103', '246', '274', '344', '406', '417', '461', '473', '481', '100', '200', '322', '4', '13', '14', '16', '19']
['1', '20', '31', '293', '330', '351', '307', '411', '468', '23', '27', '36', '37', '43', '44', '45', '46', '47', '50', '64']
['2', '6', '32', '104', '123', '194', '260', '422', '73', '78', '79', '84', '88', '90', '98', '105', '109', '115', '117', '120']
['66', '151', '365', '383', '458', '475', '476', '114', '324', '387', '408', '418', '441', '3', '121', '125', '130', '132', '133', '136']
['5', '71', '137', '138', '139', '144', '149', '153', '159', '161', '164', '168', '169', '171', '172', '173', '174', '182', '185', '186']
['8', '59', '187', '188', '190', '193', '197', '202', '204', '205', '209', '212', '214', '216', '218', '221', '243', '251', '253', '257']
['9', '57', '69', '135', '148', '206', '271', '285', '340', '264', '265', '269', '277', '278', '282', '283', '286', '291', '297', '298']
['62', '328', '479', '10', '80', '156', '227', '326', '348', '359', '381', '425', '447', '464', '52', '147', '162', '302', '305', '309']
['11', '30', '150', '281', '287', '336', '393', '419', '310', '311', '312', '316', '321', '333', '341', '346', '352', '354', '356', '358']
['29', '170', '201', '248', '385', '437', '76', '189', '370', '407', '432', '442', '449', '465', '12', '102', '143', '373', '416', '362']
['15', '18', '38', '234', '379', '380', '391', '435', '39', '54', '56', '61', '68', '75', '224', '438', '93', '363', '368', '375']
['17', '199', '376', '382', '384', '386', '388', '389', '392', '396', '402', '405', '409', '412', '413', '415', '429', '431', '434', '439']
['21', '22', '53', '141', '177', '239', '268', '290', '304', '308', '320', '337', '347', '361', '395', '410', '440', '444', '445', '450']
['24', '436', '459', '460', '471', '474', '477', '478', '483', '487', '488', '489', '490', '492', '495', '497', '55', '35', '280', '40']
['25', '86', '99', '119', '152', '181', '192', '232', '266', '288', '295', '317', '345', '390', '480', '41', '228', '81', '94', '89']
['26', '48', '63', '101', '124', '230', '233', '242', '252', '275', '394', '106', '428', '116', '334', '126', '249', '131', '338', '154']
['28', '67', '74', '134', '158', '219', '349', '353', '366', '369', '404', '128', '299', '350', '397', '443', '469', '472', '196', '155']
['33', '95', '111', '178', '180', '191', '231', '241', '261', '318', '374', '276', '160', '327', '184', '267', '220', '270', '223', '357']
['34', '303', '371', '421', '244', '343', '258', '454', '294', '335', '314', '430', '378', '453', '424', '498', '451', '215', '60', '58']
['112', '210', '238', '319', '325', '400', '414', '462', '42', '49', '107', '140', '331', '423', '448', '470', '97', '452', '225', '203']
['51', '262', '273', '315', '292', '237', '213', '499', '466', '426', '486', '446', '399', '118', '259', '217', '211', '207', '496', '491']
['65', '163', '240', '398', '401', '433', '166', '254', '427', '198', '108', '485', '484', '463', '403', '272', '377', '263', '222', '127']
['70', '82', '129', '176', '247', '255', '306', '313', '355', '364', '339', '342', '87', '72', '300', '296', '256', '142', '110', '85']
['77', '91', '183', '229', '279', '329', '367', '482', '83', '372', '332', '236', '195', '175', '122', '96', '494', '493', '455', '284']
['145', '167', '250', '289', '323', '179', '245', '208', '226', '165', '113', '467', '457', '456', '420', '360', '301', '235', '157', '146']
