['0', '14', '30', '42', '65', '68', '87', '112', '115', '119', '131', '143', '157', '167', '170', '179', '185', '186', '194', '203']
['1', '4', '5', '6', '9', '21', '28', '33', '48', '49', '51', '56', '60', '71', '72', '77', '91', '93', '97', '100']
['2', '23', '61', '139', '151', '153', '155', '161', '169', '171', '173', '183', '189', '212', '227', '236', '245', '272', '283', '286']
['3', '39', '43', '47', '55', '59', '67', '74', '75', '81', '86', '98', '99', '101', '103', '111', '118', '134', '149', '150']
['7', '8', '13', '18', '19', '20', '25', '26', '34', '37', '40', '44', '69', '70', '83', '89', '90', '109', '114', '116']
['10', '12', '15', '16', '29', '31', '38', '41', '50', '52', '58', '73', '78', '84', '85', '88', '92', '104', '123', '126']
['11', '17', '22', '53', '54', '64', '66', '80', '82', '95', '106', '107', '125', '127', '136', '140', '141', '154', '156', '159']
['24', '35', '36', '45', '46', '62', '63', '79', '94', '102', '120', '121', '124', '129', '137', '146', '158', '187', '190', '193']
['27', '32', '57', '76', '96', '108', '130', '196', '206', '208', '224', '234', '241', '275', '281', '335', '366', '384', '466', '204']
['458', '215', '220', '222', '223', '238', '248', '249', '255', '256', '257', '260', '269', '274', '308', '317', '333', '347', '362', '369']
['489', '379', '390', '391', '400', '430', '464', '470', '488', '165', '174', '176', '181', '188', '199', '201', '205', '211', '213', '217']
['494', '235', '239', '247', '251', '262', '264', '265', '266', '271', '279', '282', '284', '295', '303', '310', '312', '314', '334', '336']
['495', '343', '344', '357', '358', '367', '385', '398', '404', '408', '411', '414', '417', '421', '426', '438', '439', '442', '133', '135']
['463', '138', '145', '148', '160', '178', '198', '200', '202', '209', '214', '218', '233', '240', '244', '253', '278', '287', '291', '292']
['484', '309', '316', '324', '327', '339', '342', '346', '348', '370', '376', '378', '396', '397', '403', '406', '415', '423', '440', '450']
['480', '456', '476', '481', '483', '128', '132', '144', '152', '162', '163', '166', '168', '175', '182', '191', '192', '207', '216', '219']
['474', '225', '230', '252', '263', '267', '268', '273', '276', '293', '301', '302', '305', '306', '313', '315', '329', '341', '350', '352']
['499', '355', '359', '360', '368', '373', '374', '375', '382', '386', '388', '389', '394', '405', '419', '427', '433', '435', '437', '445']
['487', '448', '459', '467', '468', '471', '485', '493', '172', '195', '197', '226', '242', '259', '285', '300', '304', '337', '338', '345']
['490', '356', '371', '377', '381', '383', '395', '402', '410', '413', '416', '425', '432', '443', '449', '453', '454', '461', '462', '472']
['496', '479', '486', '492', '289', '294', '297', '320', '322', '330', '349', '364', '372', '380', '393', '424', '428', '429', '431', '436']
['498', '441', '447', '451', '452', '455', '457', '105', '110', '113', '117', '122', '142', '147', '164', '177', '180', '184', '237', '246']
['465', '270', '288', '290', '296', '298', '307', '311', '318', '321', '323', '325', '326', '332', '354', '361', '363', '365', '387', '409']
['491', '412', '420', '422', '446', '460', '475', '482', '210', '221', '228', '229', '231', '232', '243', '250', '254', '258', '261', '277']
['497', '280', '299', '319', '328', '331', '340', '351', '353', '392', '399', '401', '407', '418', '434', '444', '469', '473', '477', '478']
